고유 ID,주문 번호,주문 일자,배송 일자,배송 방법,고객번호,고객명,고객 세그먼트,시군구,시도,국가,지역,제품 코드,제품 대분류,제품 중분류,제품명,매출,수량,할인율,수익
1,IN-2014-27828,2015-08-27,2015-08-31,표준 배송,VT-21700,안현성,홈 오피스,서초구,서울특별시,대한민국,수도권,OFF-PA-10000026,사무용품,종이,"Eaton Cards & Envelopes, 8.5 x 11",201225.6,4,0,36108
2,IN-2014-27828,2015-08-27,2015-08-31,표준 배송,VT-21700,안현성,홈 오피스,서초구,서울특별시,대한민국,수도권,FUR-FU-10000944,가구,가구류,"Tenex Door Stop, Black",313374.6,7,0,21848.4
3,IN-2014-27828,2015-08-27,2015-08-31,표준 배송,VT-21700,안현성,홈 오피스,서초구,서울특별시,대한민국,수도권,TEC-CO-10002526,사무기기,복사기,"Sharp Wireless Fax, Digital",1450684.8,4,0,536724
4,IN-2014-27828,2015-08-27,2015-08-31,표준 배송,VT-21700,안현성,홈 오피스,서초구,서울특별시,대한민국,수도권,TEC-AC-10002255,사무기기,악세사리,"Memorex Keyboard, Erganomic",211599,3,0,80325
5,IN-2015-63178,2016-06-24,2016-06-30,표준 배송,SO-20335,강희수,소비자,제주시,제주특별자치도,대한민국,호남,OFF-AP-10002882,사무용품,가전,"KitchenAid Coffee Grinder, Silver",123495.48,2,0.15,37754.28
6,IN-2012-29067,2013-05-31,2013-06-04,빠른 배송,ST-20530,정연희,소비자,청도군,경상북도,대한민국,영남,OFF-BI-10000168,사무용품,바인더,"Cardinal Hole Reinforcements, Recycled",11628,2,0,2876.4
7,IN-2013-15361,2014-08-16,2014-08-22,표준 배송,CS-12130,허상재,소비자,신안군,전라남도,대한민국,호남,TEC-PH-10001354,사무기기,전화기,"Motorola Speaker Phone, Full Size",267382.8,2,0,74847.6
8,IN-2012-79397,2013-01-03,2013-01-03,당일 배송,KN-16450,최이슬,기업 고객,사천시,경상남도,대한민국,영남,OFF-LA-10003396,사무용품,라벨,"Avery Color Coded Labels, Laser Printer Compatible",36600.66,3,0.1,4837.86
9,IN-2012-79397,2013-01-03,2013-01-03,당일 배송,KN-16450,최이슬,기업 고객,사천시,경상남도,대한민국,영남,OFF-AP-10000304,사무용품,가전,"Hoover Microwave, White",281624.04,1,0.1,112620.24
10,ID-2013-63535,2014-05-10,2014-05-16,표준 배송,ML-17410,우태희,소비자,수성구,대구광역시,대한민국,영남,TEC-PH-10003062,사무기기,전화기,"Apple Audio Dock, Full Size",514630.8,5,0.4,-42901.2
11,ID-2013-63535,2014-05-10,2014-05-16,표준 배송,ML-17410,우태희,소비자,수성구,대구광역시,대한민국,영남,OFF-AR-10001134,사무용품,필기구,"Boston Pens, Easy-Erase",8867.88,1,0.4,-4443.12
12,ID-2012-65117,2013-07-12,2013-07-16,표준 배송,SW-20245,임단비,소비자,진천군,충청북도,대한민국,충청,OFF-SU-10004177,사무용품,일반 사무용품,"Fiskars Box Cutter, Easy Grip",62506.62,3,0.45,-26172.18
13,ID-2012-65117,2013-07-12,2013-07-16,표준 배송,SW-20245,임단비,소비자,진천군,충청북도,대한민국,충청,TEC-PH-10001354,사무기기,전화기,"Motorola Speaker Phone, Full Size",601611.3,6,0.25,24005.7
14,ID-2012-65117,2013-07-12,2013-07-16,표준 배송,SW-20245,임단비,소비자,진천군,충청북도,대한민국,충청,OFF-BI-10000089,사무용품,바인더,"Wilson Jones 3-Hole Punch, Recycled",221215.05,9,0.15,88472.25
15,ID-2012-65117,2013-07-12,2013-07-16,표준 배송,SW-20245,임단비,소비자,진천군,충청북도,대한민국,충청,OFF-EN-10003463,사무용품,봉투,"Jiffy Peel and Seal, Recycled",52762.05,5,0.45,-5836.95
16,ID-2012-65117,2013-07-12,2013-07-16,표준 배송,SW-20245,임단비,소비자,진천군,충청북도,대한민국,충청,FUR-CH-10001871,가구,의자,"Harbour Creations Steel Folding Chair, Set of Two",612856.8,8,0.25,-155325.6
17,ID-2015-39084,2016-06-13,2016-06-17,표준 배송,PO-18865,최유미,소비자,울주군,울산광역시,대한민국,영남,TEC-CO-10000666,사무기기,복사기,"Hewlett Copy Machine, Laser",698298.12,4,0.35,-64498.68
18,ID-2015-44908,2016-02-27,2016-03-04,표준 배송,AI-10855,허동춘,소비자,완도군,전라남도,대한민국,호남,OFF-SU-10004848,사무용품,일반 사무용품,"Kleencut Shears, High Speed",126419.31,5,0.47,-85944.69
19,ID-2015-44908,2016-02-27,2016-03-04,표준 배송,AI-10855,허동춘,소비자,완도군,전라남도,대한민국,호남,OFF-PA-10003332,사무용품,종이,"Xerox Cards & Envelopes, Recycled",48524.256,2,0.47,-15613.344
20,ID-2013-73146,2014-10-25,2014-10-31,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,충청,OFF-AP-10000487,사무용품,가전,"Hoover Stove, Silver",1445704.956,3,0.17,-296108.244
21,ID-2013-73146,2014-10-25,2014-10-31,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,충청,OFF-LA-10000095,사무용품,라벨,"Avery Round Labels, Laser Printer Compatible",23159.304,6,0.47,-4380.696
22,ID-2015-62926,2016-09-18,2016-09-19,특급 배송,MC-18100,정희성,소비자,서초구,서울특별시,대한민국,수도권,TEC-MA-10003553,사무기기,전산기기,"Epson Printer, Red",397448.1,2,0.25,-84807.9
23,ID-2015-64914,2016-03-27,2016-03-28,특급 배송,AS-10285,주소연,기업 고객,구로구,서울특별시,대한민국,수도권,FUR-TA-10000147,가구,탁자,"Lesro Coffee Table, Rectangular",1069157.88,6,0.3,-290216.52
24,ID-2013-57809,2014-10-10,2014-10-14,표준 배송,AO-10810,류진주,기업 고객,성남시,경기도,대한민국,수도권,FUR-TA-10000665,가구,탁자,"Bevis Computer Table, Fully Assembled",802012.536,3,0.47,-575079.264
25,ID-2013-57809,2014-10-10,2014-10-14,표준 배송,AO-10810,류진주,기업 고객,성남시,경기도,대한민국,수도권,OFF-AR-10001232,사무용품,필기구,"Sanford Canvas, Fluorescent",77110.776,2,0.27,4221.576
26,IN-2014-76464,2015-06-13,2015-06-15,특급 배송,DK-13090,노진헌,소비자,수영구,부산광역시,대한민국,영남,OFF-AR-10000027,사무용품,필기구,"Binney & Smith Pencil Sharpener, Easy-Erase",62390.034,3,0.27,10247.634
27,IN-2014-76464,2015-06-13,2015-06-15,특급 배송,DK-13090,노진헌,소비자,수영구,부산광역시,대한민국,영남,FUR-CH-10003009,가구,의자,"Novimex Swivel Stool, Adjustable",248621.94,2,0.27,-6826.86
28,IN-2012-32126,2013-09-03,2013-09-09,표준 배송,GA-14515,강현정,소비자,영동군,충청북도,대한민국,충청,FUR-CH-10001313,가구,의자,"SAFCO Steel Folding Chair, Black",254836.8,4,0.25,71236.8
29,IN-2012-32126,2013-09-03,2013-09-09,표준 배송,GA-14515,강현정,소비자,영동군,충청북도,대한민국,충청,OFF-ST-10003837,사무용품,수납용품,"Tenex Lockers, Single Width",572724.9,5,0.45,-322937.1
30,IN-2015-12575,2016-11-24,2016-11-29,표준 배송,TG-21310,남주석,소비자,여주시,경기도,대한민국,수도권,OFF-AR-10000058,사무용품,필기구,"Stanley Canvas, Water Color",96665.4,2,0.1,25734.6
31,IN-2015-29697,2016-10-06,2016-10-06,당일 배송,JC-15340,강지환,소비자,강동구,서울특별시,대한민국,수도권,OFF-AR-10004486,사무용품,필기구,"Sanford Canvas, Blue",139132.08,3,0.1,24657.48
32,IN-2015-29697,2016-10-06,2016-10-06,당일 배송,JC-15340,강지환,소비자,강동구,서울특별시,대한민국,수도권,OFF-PA-10000694,사무용품,종이,"Green Bar Message Books, Premium",65517.66,3,0.1,15945.66
33,IN-2015-29697,2016-10-06,2016-10-06,당일 배송,JC-15340,강지환,소비자,강동구,서울특별시,대한민국,수도권,TEC-CO-10003702,사무기기,복사기,"Brother Ink, Digital",809345.52,6,0.1,350712.72
34,IN-2014-55051,2015-07-30,2015-08-05,표준 배송,AM-10705,곽찬경,소비자,강남구,서울특별시,대한민국,수도권,OFF-LA-10002139,사무용품,라벨,"Novimex Color Coded Labels, Alphabetical",20724.768,2,0.17,222.768
35,IN-2014-55051,2015-07-30,2015-08-05,표준 배송,AM-10705,곽찬경,소비자,강남구,서울특별시,대한민국,수도권,TEC-AC-10001500,사무기기,악세사리,"Logitech Memory Card, Erganomic",273516.57,5,0.47,-211646.43
36,IN-2014-55051,2015-07-30,2015-08-05,표준 배송,AM-10705,곽찬경,소비자,강남구,서울특별시,대한민국,수도권,TEC-AC-10003750,사무기기,악세사리,"Memorex Memory Card, Erganomic",324619.488,6,0.47,-116387.712
37,IN-2014-55051,2015-07-30,2015-08-05,표준 배송,AM-10705,곽찬경,소비자,강남구,서울특별시,대한민국,수도권,TEC-CO-10001954,사무기기,복사기,"Brother Wireless Fax, Laser",243423.306,1,0.37,23164.506
38,ID-2015-76618,2016-08-12,2016-08-14,빠른 배송,RB-19330,허아라,소비자,서천군,충청남도,대한민국,충청,OFF-ST-10004830,사무용품,수납용품,"Eldon Lockers, Blue",181681.38,1,0.1,-16178.22
39,ID-2015-76618,2016-08-12,2016-08-14,빠른 배송,RB-19330,허아라,소비자,서천군,충청남도,대한민국,충청,FUR-CH-10003836,가구,의자,"Harbour Creations Rocking Chair, Red",405085.86,3,0.1,71943.66
